category,city,container,customer_id,customer_name,customer_segment,department,item,item_id,order_date,order_id,order_priority,postal_code,region,row_id,ship_date,ship_mode,state,days_to_ship,discount,kpi_-_profit_ratio,number_of_records,order_quantity,product_base_margin,profit,profit_ratio,sales,shipping_cost,unit_price,profit_margin,profit_per_unit
Storage & Organization,Bowie,Large Box,2211,Anita Hahn,Home Office,Office Supplies,Safco Industrial Wire Shelving,10826,2013-01-01,88028,Not Specified,20715,East,19914,2013-01-01,Express Air,Maryland,0,0.08,Poor,1,2,0.0,-425,-2.1907,194,35,96,-2.1907216494845363,-212.5
Tables,Phenix City,Jumbo Box,2579,Marshall Sutherland,Home Office,Furniture,Bush Advantage Collection® Round Conference Table,10964,2013-01-01,88296,High,36869,South,23705,2013-01-02,Delivery Truck,Alabama,1,0.09,Poor,1,1,0.64,-274,-1.5657,175,52,213,-1.5657142857142856,-274.0
Office Furnishings,Draper,Medium Box,1988,Anna Burgess,Home Office,Furniture,36X48 HARDFLOOR CHAIRMAT,10179,2013-01-01,89999,High,84020,West,19336,2013-01-02,Regular Air,Utah,1,0.05,Poor,1,3,0.78,-181,-2.7424,66,21,21,-2.742424242424242,-60.333333333333336
Pens & Art Supplies,Austin,Wrap Bag,117,Linda Weiss,Home Office,Office Supplies,"Dixon Prang® Watercolor Pencils, 10-Color Set with Brush",11250,2013-01-01,7909,High,78745,Central,1074,2013-01-02,Regular Air,Texas,1,0.03,Poor,1,29,0.44,10,0.082,122,1,4,0.08196721311475409,0.3448275862068966
Pens & Art Supplies,Lake Oswego,Wrap Bag,114,Ron Newton,Home Office,Office Supplies,"Dixon Prang® Watercolor Pencils, 10-Color Set with Brush",11250,2013-01-01,89583,High,97035,West,19074,2013-01-02,Regular Air,Oregon,1,0.03,Acceptable,1,7,0.44,19,0.6333,30,1,4,0.6333333333333333,2.7142857142857144
Paper,Kearney,Small Box,388,Roger Schwartz,Corporate,Office Supplies,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),10893,2013-01-01,90337,Critical,68847,Central,22223,2013-01-03,Regular Air,Nebraska,2,0.03,Poor,1,4,0.4,-52,-2.2609,23,6,5,-2.260869565217391,-13.0
Office Machines,Layton,Jumbo Drum,193,Danny Hong,Corporate,Technology,Panasonic KX-P2130 Dot Matrix Printer,10680,2013-01-01,90430,Not Specified,84041,West,19663,2013-01-03,Delivery Truck,Utah,2,0.0,Poor,1,1,0.59,-561,-2.5045,224,15,213,-2.5044642857142856,-561.0
Computer Peripherals,Baton Rouge,Small Box,169,Janice Cole,Corporate,Technology,"Fellowes Mobile Numeric Keypad, Graphite",10886,2013-01-01,87463,Low,70802,South,19315,2013-01-03,Regular Air,Louisiana,2,0.08,Acceptable,1,3,0.66,280,2.1374,131,17,43,2.1374045801526718,93.33333333333333
Telephones and Communication,Kearney,Small Box,388,Roger Schwartz,Corporate,Technology,T18,10802,2013-01-01,90337,Critical,68847,Central,22224,2013-01-04,Regular Air,Nebraska,3,0.01,Poor,1,2,0.57,-264,-1.3968,189,3,111,-1.3968253968253967,-132.0
Paper,Baton Rouge,Wrap Bag,169,Janice Cole,Corporate,Office Supplies,"Staples Wirebound Steno Books, 6"" x 9"", 12/Pack",10279,2013-01-01,87463,Low,70802,South,19317,2013-01-05,Regular Air,Louisiana,4,0.04,Acceptable,1,3,0.36,25,0.8065,31,2,10,0.8064516129032258,8.333333333333334
Office Machines,Baton Rouge,Large Box,169,Janice Cole,Corporate,Technology,Polycom ViaVideo™ Desktop Video Communications Unit,10293,2013-01-01,87463,Low,70802,South,19316,2013-01-08,Regular Air,Louisiana,7,0.05,Poor,1,12,0.37,-112,-0.0161,6945,24,575,-0.016126709863210943,-9.333333333333334
Chairs & Chairmats,Boston,Jumbo Drum,68,Scott Bunn,Corporate,Furniture,Hon 4070 Series Pagoda™ Armless Upholstered Stacking Chairs,10399,2013-01-02,37537,Low,2129,East,5272,2013-01-02,Delivery Truck,Massachusetts,0,0.0,Poor,1,4,0.56,-309,-0.2494,1239,49,292,-0.24939467312348668,-77.25
Chairs & Chairmats,Boston,Jumbo Drum,68,Scott Bunn,Corporate,Furniture,Hon Valutask™ Swivel Chairs,11185,2013-01-02,37537,Low,2129,East,5273,2013-01-02,Delivery Truck,Massachusetts,0,0.07,Poor,1,43,0.69,-1680,-0.4115,4083,45,101,-0.4114621601763409,-39.06976744186046
Paper,Montebello,Wrap Bag,1155,Alex Nicholson,Consumer,Office Supplies,"Black Print Carbonless Snap-Off® Rapid Letter, 8 1/2"" x 7""",11253,2013-01-02,90853,Critical,90640,West,24224,2013-01-02,Express Air,California,0,0.09,Acceptable,1,4,0.4,20,0.5882,34,2,9,0.5882352941176471,5.0
Binders and Binder Accessories,Prior Lake,Small Box,950,Jane Shah,Consumer,Office Supplies,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",10302,2013-01-02,89083,Critical,55372,Central,19279,2013-01-02,Regular Air,Minnesota,0,0.06,Poor,1,1,0.36,-15,-0.3571,42,3,41,-0.35714285714285715,-15.0
Binders and Binder Accessories,Oxford,Small Box,949,Ernest Oh,Consumer,Office Supplies,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",10302,2013-01-02,9285,Critical,1540,East,1279,2013-01-02,Regular Air,Massachusetts,0,0.06,Poor,1,3,0.36,-19,-0.152,125,3,41,-0.152,-6.333333333333333
Paper,Montebello,Wrap Bag,1155,Alex Nicholson,Consumer,Office Supplies,White GlueTop Scratch Pads,10854,2013-01-02,90853,Critical,90640,West,24225,2013-01-02,Regular Air,California,0,0.08,Acceptable,1,11,0.39,109,0.6943,157,2,15,0.6942675159235668,9.909090909090908
Chairs & Chairmats,Bryan,Jumbo Drum,915,Carol Sherrill,Home Office,Furniture,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,10569,2013-01-02,86356,High,77803,Central,24953,2013-01-03,Delivery Truck,Texas,1,0.06,Poor,1,1,0.61,-489,-1.4092,347,30,351,-1.4092219020172911,-489.0
Binders and Binder Accessories,Pharr,Small Box,3146,Maureen Stout,Corporate,Office Supplies,Cardinal Poly Pocket Divider Pockets for Ring Binders,10907,2013-01-02,85850,Critical,78577,Central,19193,2013-01-03,Regular Air,Texas,1,0.03,Poor,1,4,0.4,-94,-6.2667,15,6,3,-6.266666666666667,-23.5
Paper,Pharr,Wrap Bag,3146,Maureen Stout,Corporate,Office Supplies,"While you Were Out Message Book, One Form per Page",11242,2013-01-02,85850,Critical,78577,Central,19194,2013-01-04,Express Air,Texas,2,0.07,Acceptable,1,11,0.35,6,0.15,40,2,4,0.15,0.5454545454545454
Storage & Organization,Boston,Small Box,68,Scott Bunn,Corporate,Office Supplies,"Dual Level, Single-Width Filing Carts",10770,2013-01-02,37537,Low,2129,East,5274,2013-01-07,Regular Air,Massachusetts,5,0.05,Poor,1,32,0.59,575,0.1173,4902,7,155,0.11729906160750714,17.96875
Storage & Organization,Derry,Small Box,67,Ellen McCormick,Corporate,Office Supplies,"Dual Level, Single-Width Filing Carts",10770,2013-01-02,87946,Low,3038,East,23274,2013-01-07,Regular Air,New Hampshire,5,0.05,Acceptable,1,8,0.59,846,0.69,1226,7,155,0.6900489396411092,105.75
Telephones and Communication,Bedford,Small Box,890,Billie Fowler,Consumer,Technology,Item 10952,10952,2013-01-03,89536,Critical,76021,Central,26015,2013-01-03,Regular Air,Texas,0,0.04,Acceptable,1,6,0.55,455,0.6894,660,5,126,0.6893939393939394,75.83333333333333
Chairs & Chairmats,Dubuque,Jumbo Drum,2151,Melinda Rogers,Corporate,Furniture,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",10637,2013-01-03,90404,Not Specified,52001,Central,22555,2013-01-04,Delivery Truck,Iowa,1,0.08,Poor,1,1,0.55,-163,-0.6546,249,43,244,-0.6546184738955824,-163.0
Chairs & Chairmats,Bedford,Jumbo Drum,890,Billie Fowler,Consumer,Furniture,"Metal Folding Chairs, Beige, 4/Carton",10948,2013-01-03,89536,Critical,76021,Central,26011,2013-01-04,Regular Air,Texas,1,0.08,Poor,1,11,0.58,1,0.05,20,1,2,0.05,0.09090909090909091
Office Furnishings,Norman,Large Box,2630,Betsy Puckett,Small Business,Furniture,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,10300,2013-01-03,85914,Critical,73071,Central,21982,2013-01-04,Regular Air,Oklahoma,1,0.02,Acceptable,1,10,0.59,1508,0.6902,2185,21,210,0.6901601830663615,150.8
Storage & Organization,Ormond Beach,Small Box,3331,Elisabeth Shaw,Corporate,Office Supplies,"Perma STOR-ALL™ Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",10817,2013-01-03,86283,Medium,32174,South,21588,2013-01-04,Regular Air,Florida,1,0.09,Poor,1,11,0.68,-781,-11.8333,66,5,6,-11.833333333333334,-71.0
Paper,Deer Park,Wrap Bag,1085,Ted Dunlap,Home Office,Office Supplies,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",10994,2013-01-03,86122,Not Specified,11729,East,18047,2013-01-04,Regular Air,New York,1,0.05,Poor,1,6,0.36,-40,-0.8511,47,6,8,-0.851063829787234,-6.666666666666667
Computer Peripherals,Fort Dodge,Small Pack,2206,Bobby Powell,Consumer,Technology,"Memorex 4.7GB DVD+RW, 3/Pack",11179,2013-01-03,86258,High,50501,Central,18164,2013-01-04,Regular Air,Iowa,1,0.03,Poor,1,2,0.4,-35,-0.6364,55,2,28,-0.6363636363636364,-17.5
Office Furnishings,Norman,Large Box,2630,Betsy Puckett,Small Business,Furniture,Electrix Halogen Magnifier Lamp,10198,2013-01-03,85914,Critical,73071,Central,21981,2013-01-05,Regular Air,Oklahoma,2,0.01,Acceptable,1,5,0.59,690,0.69,1000,12,194,0.69,138.0
Office Machines,Mount Prospect,Jumbo Drum,3125,Guy McDonald,Home Office,Technology,Canon S750 Color Inkjet Printer,10667,2013-01-03,87285,High,60056,Central,25352,2013-01-05,Delivery Truck,Illinois,2,0.08,Poor,1,2,0.38,-234,-1.0,234,26,121,-1.0,-117.0
Office Machines,Norman,Jumbo Drum,2630,Betsy Puckett,Small Business,Technology,Panasonic KX-P1150 Dot Matrix Printer,10812,2013-01-03,85914,Critical,73071,Central,21983,2013-01-05,Delivery Truck,Oklahoma,2,0.0,Acceptable,1,8,0.56,802,0.6734,1191,18,145,0.6733837111670865,100.25
